"12d2 -- Recidivism by gender, age, group of offences and sanction, 1990-2021",,,,
,,,,
Year,Gender,Age,Principal offence,"Convicted, number"
2015,Unknown,21 - 24,Total,5
2015,Unknown,25 - 29,Total,3
2015,Unknown,30 - 39,Total,5
2015,Unknown,40 - 49,Total,5
2015,Unknown,50 - 59,Total,0
2015,Unknown,60 - 69,Total,0
2015,Unknown,70 - 79,Total,0
2015,Unknown,80 -,Total,0
2016,Total,Total,Total,51153
2016,Total,15 - 17,Total,1522
2016,Total,18 - 20,Total,4599
2016,Total,21 - 24,Total,7038
2016,Total,25 - 29,Total,7618
2016,Total,30 - 39,Total,12638
2016,Total,40 - 49,Total,8371
2016,Total,50 - 59,Total,5858
2016,Total,60 - 69,Total,2729
2016,Total,70 - 79,Total,680
2016,Total,80 -,Total,96
2016,Males,Total,Total,42384
2016,Males,15 - 17,Total,1260
2016,Males,18 - 20,Total,3916
2016,Males,21 - 24,Total,5779
2016,Males,25 - 29,Total,6225
2016,Males,30 - 39,Total,10494
2016,Males,40 - 49,Total,6890
2016,Males,50 - 59,Total,4816
2016,Males,60 - 69,Total,2324
2016,Males,70 - 79,Total,596
2016,Males,80 -,Total,80
2016,Females,Total,Total,8750
2016,Females,15 - 17,Total,262
2016,Females,18 - 20,Total,682
2016,Females,21 - 24,Total,1251
2016,Females,25 - 29,Total,1390
2016,Females,30 - 39,Total,2140
2016,Females,40 - 49,Total,1478
2016,Females,50 - 59,Total,1042
2016,Females,60 - 69,Total,405
2016,Females,70 - 79,Total,84
2016,Females,80 -,Total,16
2016,Unknown,Total,Total,19
2016,Unknown,15 - 17,Total,0
2016,Unknown,18 - 20,Total,1
2016,Unknown,21 - 24,Total,8
2016,Unknown,25 - 29,Total,3
2016,Unknown,30 - 39,Total,4
2016,Unknown,40 - 49,Total,3
2016,Unknown,50 - 59,Total,0
2016,Unknown,60 - 69,Total,0
2016,Unknown,70 - 79,Total,0
2016,Unknown,80 -,Total,0
2017,Total,Total,Total,50004
2017,Total,15 - 17,Total,1501
2017,Total,18 - 20,Total,4502
2017,Total,21 - 24,Total,6766
2017,Total,25 - 29,Total,7608
2017,Total,30 - 39,Total,12502
2017,Total,40 - 49,Total,8177
2017,Total,50 - 59,Total,5485
2017,Total,60 - 69,Total,2628
2017,Total,70 - 79,Total,721
2017,Total,80 -,Total,103
2017,Males,Total,Total,41512
2017,Males,15 - 17,Total,1247
2017,Males,18 - 20,Total,3810
2017,Males,21 - 24,Total,5701
2017,Males,25 - 29,Total,6169
2017,Males,30 - 39,Total,10353
2017,Males,40 - 49,Total,6714
2017,Males,50 - 59,Total,4545
2017,Males,60 - 69,Total,2256
2017,Males,70 - 79,Total,624
2017,Males,80 -,Total,85
2017,Females,Total,Total,8453
2017,Females,15 - 17,Total,254
2017,Females,18 - 20,Total,688
2017,Females,21 - 24,Total,1058
2017,Females,25 - 29,Total,1431
2017,Females,30 - 39,Total,2138
2017,Females,40 - 49,Total,1458
2017,Females,50 - 59,Total,938
2017,Females,60 - 69,Total,372
2017,Females,70 - 79,Total,97
2017,Females,80 -,Total,18
2017,Unknown,Total,Total,39
2017,Unknown,15 - 17,Total,0
2017,Unknown,18 - 20,Total,4
2017,Unknown,21 - 24,Total,7
2017,Unknown,25 - 29,Total,8
2017,Unknown,30 - 39,Total,11
2017,Unknown,40 - 49,Total,5
2017,Unknown,50 - 59,Total,2
2017,Unknown,60 - 69,Total,0
2017,Unknown,70 - 79,Total,0
2017,Unknown,80 -,Total,0
2018,Total,Total,Total,53405
2018,Total,15 - 17,Total,1475
2018,Total,18 - 20,Total,4847
2018,Total,21 - 24,Total,7498
2018,Total,25 - 29,Total,8145
2018,Total,30 - 39,Total,13853
2018,Total,40 - 49,Total,8643
2018,Total,50 - 59,Total,5603
2018,Total,60 - 69,Total,2497
2018,Total,70 - 79,Total,721
2018,Total,80 -,Total,105
2018,Males,Total,Total,44003
2018,Males,15 - 17,Total,1220
2018,Males,18 - 20,Total,4031
2018,Males,21 - 24,Total,6232
2018,Males,25 - 29,Total,6648
2018,Males,30 - 39,Total,11397
2018,Males,40 - 49,Total,7125
2018,Males,50 - 59,Total,4503
2018,Males,60 - 69,Total,2130
2018,Males,70 - 79,Total,613
2018,Males,80 -,Total,90
2018,Females,Total,Total,9347
2018,Females,15 - 17,Total,255
2018,Females,18 - 20,Total,809
2018,Females,21 - 24,Total,1255
2018,Females,25 - 29,Total,1482
2018,Females,30 - 39,Total,2450
2018,Females,40 - 49,Total,1508
2018,Females,50 - 59,Total,1097
2018,Females,60 - 69,Total,366
2018,Females,70 - 79,Total,108
2018,Females,80 -,Total,15
2018,Unknown,Total,Total,55
2018,Unknown,15 - 17,Total,0
2018,Unknown,18 - 20,Total,7
2018,Unknown,21 - 24,Total,11
2018,Unknown,25 - 29,Total,15
2018,Unknown,30 - 39,Total,6
2018,Unknown,40 - 49,Total,10
2018,Unknown,50 - 59,Total,3
2018,Unknown,60 - 69,Total,1
2018,Unknown,70 - 79,Total,0
2018,Unknown,80 -,Total,0
2019,Total,Total,Total,52731
2019,Total,15 - 17,Total,1430
2019,Total,18 - 20,Total,4791
2019,Total,21 - 24,Total,7224
2019,Total,25 - 29,Total,8119
2019,Total,30 - 39,Total,13816
2019,Total,40 - 49,Total,8726
2019,Total,50 - 59,Total,5399
2019,Total,60 - 69,Total,2357
2019,Total,70 - 79,Total,727
2019,Total,80 -,Total,106
2019,Males,Total,Total,43191
2019,Males,15 - 17,Total,1155
2019,Males,18 - 20,Total,3960
2019,Males,21 - 24,Total,5938
2019,Males,25 - 29,Total,6691
2019,Males,30 - 39,Total,11259
2019,Males,40 - 49,Total,7187
2019,Males,50 - 59,Total,4317
2019,Males,60 - 69,Total,1956
2019,Males,70 - 79,Total,620
2019,Males,80 -,Total,81
2019,Females,Total,Total,9442
2019,Females,15 - 17,Total,275
2019,Females,18 - 20,Total,827
2019,Females,21 - 24,Total,1263
2019,Females,25 - 29,Total,1412
2019,Females,30 - 39,Total,2524
2019,Females,40 - 49,Total,1529
2019,Females,50 - 59,Total,1077
2019,Females,60 - 69,Total,399
2019,Females,70 - 79,Total,107
2019,Females,80 -,Total,25
2019,Unknown,Total,Total,98
2019,Unknown,15 - 17,Total,0
2019,Unknown,18 - 20,Total,4
2019,Unknown,21 - 24,Total,23
2019,Unknown,25 - 29,Total,16
2019,Unknown,30 - 39,Total,33
2019,Unknown,40 - 49,Total,10
2019,Unknown,50 - 59,Total,5
2019,Unknown,60 - 69,Total,2
2019,Unknown,70 - 79,Total,0
2019,Unknown,80 -,Total,0
2020,Total,Total,Total,47763
2020,Total,15 - 17,Total,1413
2020,Total,18 - 20,Total,4652
2020,Total,21 - 24,Total,6585
2020,Total,25 - 29,Total,7557
2020,Total,30 - 39,Total,12290
2020,Total,40 - 49,Total,7706
2020,Total,50 - 59,Total,4727
2020,Total,60 - 69,Total,2042
2020,Total,70 - 79,Total,660
2020,Total,80 -,Total,96
2020,Males,Total,Total,39175
2020,Males,15 - 17,Total,1193
2020,Males,18 - 20,Total,3908
2020,Males,21 - 24,Total,5419
2020,Males,25 - 29,Total,6187
2020,Males,30 - 39,Total,9922
2020,Males,40 - 49,Total,6318
2020,Males,50 - 59,Total,3868
2020,Males,60 - 69,Total,1696
2020,Males,70 - 79,Total,546
2020,Males,80 -,Total,85
2020,Females,Total,Total,8534
2020,Females,15 - 17,Total,220
2020,Females,18 - 20,Total,742
2020,Females,21 - 24,Total,1155
2020,Females,25 - 29,Total,1359
2020,Females,30 - 39,Total,2347
2020,Females,40 - 49,Total,1380
2020,Females,50 - 59,Total,858
2020,Females,60 - 69,Total,346
2020,Females,70 - 79,Total,114
2020,Females,80 -,Total,11
2020,Unknown,Total,Total,54
2020,Unknown,15 - 17,Total,0
2020,Unknown,18 - 20,Total,2
2020,Unknown,21 - 24,Total,11
2020,Unknown,25 - 29,Total,11
2020,Unknown,30 - 39,Total,21
2020,Unknown,40 - 49,Total,8
2020,Unknown,50 - 59,Total,1
2020,Unknown,60 - 69,Total,0
2020,Unknown,70 - 79,Total,0
2020,Unknown,80 -,Total,0
2021,Total,Total,Total,52318
2021,Total,15 - 17,Total,1526
2021,Total,18 - 20,Total,4726
2021,Total,21 - 24,Total,7071
2021,Total,25 - 29,Total,8620
2021,Total,30 - 39,Total,13708
2021,Total,40 - 49,Total,8515
2021,Total,50 - 59,Total,5128
2021,Total,60 - 69,Total,2195
2021,Total,70 - 79,Total,686
2021,Total,80 -,Total,108
2021,Males,Total,Total,42720
2021,Males,15 - 17,Total,1299
2021,Males,18 - 20,Total,3898
2021,Males,21 - 24,Total,5741
2021,Males,25 - 29,Total,6998
2021,Males,30 - 39,Total,11148
2021,Males,40 - 49,Total,6950
2021,Males,50 - 59,Total,4203
2021,Males,60 - 69,Total,1795
2021,Males,70 - 79,Total,565
2021,Males,80 -,Total,92
2021,Females,Total,Total,9557
2021,Females,15 - 17,Total,227
2021,Females,18 - 20,Total,828
2021,Females,21 - 24,Total,1325
2021,Females,25 - 29,Total,1609
2021,Females,30 - 39,Total,2548
2021,Females,40 - 49,Total,1558
2021,Females,50 - 59,Total,924
2021,Females,60 - 69,Total,399
2021,Females,70 - 79,Total,121
2021,Females,80 -,Total,16
2021,Unknown,Total,Total,41
2021,Unknown,15 - 17,Total,0
2021,Unknown,18 - 20,Total,0
2021,Unknown,21 - 24,Total,5
2021,Unknown,25 - 29,Total,13
2021,Unknown,30 - 39,Total,12
2021,Unknown,40 - 49,Total,7
2021,Unknown,50 - 59,Total,1
2021,Unknown,60 - 69,Total,1
2021,Unknown,70 - 79,Total,0
2021,Unknown,80 -,Total,0
