"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,28 years,73683,74583,75486,73668,74409,74683,74188,74287,73798,76122,76226,77904,82517,84000,86049,89030,83318,77616,74784,74983,78380,79210,75785,75756,76547,70157,67293,67659,65919,65245,61797,62438
 , ,29 years,76413,73587,74416,75371,73563,74395,74975,74328,74274,73652,76074,76362,78147,82613,84160,86101,89570,83610,77765,74977,75095,78456,79363,75820,75756,76443,70258,67472,68204,66567,65543,62223
 , ,30 years,76164,76244,73405,74297,75270,73583,74546,75159,74336,74159,73536,76156,76366,78307,82758,84329,86638,89953,83770,77847,75051,75212,78472,79449,75744,75555,76426,70344,68066,68760,66812,65884
 , ,31 years,80563,76060,76000,73269,74174,75222,73706,74597,75137,74205,74088,73582,76280,76451,78397,82868,84938,86970,90013,83780,77947,75093,75333,78498,79398,75681,75507,76491,70760,68499,69010,67084
 , ,32 years,86044,80434,75795,75869,73153,74147,75286,73773,74558,75043,74034,74162,73703,76460,76563,78511,83383,85154,87021,90017,83902,78042,75128,75344,78464,79295,75676,75586,76900,71276,68645,69120
 , ,33 years,89197,85869,80317,75677,75774,73117,74159,75355,73757,74433,74997,74036,74200,73747,76572,76635,78982,83599,85372,87143,90075,83891,78082,75148,75335,78402,79199,75746,75885,77328,71457,68830
 , ,34 years,87058,89010,85738,80105,75570,75728,73142,74225,75331,73582,74365,75050,74131,74295,73856,76660,77073,79177,83721,85481,87225,90107,83884,78056,75099,75247,78329,79211,76068,76216,77445,71675
 , ,35 years,83253,86932,88776,85536,80018,75490,75685,73144,74154,75146,73416,74362,75142,74235,74339,73941,77141,77241,79258,83772,85427,87241,90117,83919,78021,75079,75202,78426,79420,76356,76310,77639
 , ,36 years,76889,83070,86763,88652,85442,79947,75520,75653,73112,74044,75043,73464,74381,75207,74284,74410,74392,77351,77346,79319,83715,85489,87288,90090,83801,77972,75061,75231,78600,79719,76502,76523
 , ,37 years,72658,76756,82912,86580,88586,85381,79878,75533,75612,72944,73925,75001,73470,74405,75247,74274,74837,74506,77411,77353,79361,83737,85484,87260,90051,83718,77903,75112,75431,78891,79810,76594
 , ,38 years,65066,72503,76552,82720,86405,88515,85265,79829,75431,75440,72767,73868,74988,73423,74453,75232,74591,74999,74563,77451,77329,79384,83709,85398,87234,89976,83605,77882,75316,75699,78985,79924
 , ,39 years,63399,64915,72320,76386,82608,86316,88426,85201,79719,75280,75339,72724,73843,75010,73425,74435,75532,74652,74974,74563,77412,77324,79357,83691,85318,87181,89871,83565,78116,75562,75786,79108
 , ,40 years,61109,63223,64729,72161,76282,82437,86203,88321,85030,79535,75184,75227,72698,73771,74950,73386,74740,75546,74634,74918,74521,77396,77236,79227,83627,85212,87054,89810,83635,78292,75578,75808
 , ,41 years,60851,60989,63044,64555,72009,76161,82315,86072,88186,84819,79367,75111,75153,72620,73677,74848,73685,74673,75460,74586,74841,74421,77429,77141,79141,83514,85101,86963,89878,83834,78186,75621
 , ,42 years,59466,60692,60805,62879,64414,71840,75990,82204,85888,87921,84636,79203,75008,75054,72548,73613,75051,73644,74625,75385,74532,74781,74426,77319,77054,79064,83428,85057,87017,90014,83808,78221
 , ,43 years,57761,59290,60509,60621,62747,64278,71708,75834,81991,85637,87671,84429,79048,74873,75013,72502,73706,74961,73584,74540,75285,74475,74679,74292,77192,76904,78887,83342,85083,87080,89948,83770
 , ,44 years,56194,57600,59100,60293,60449,62578,64176,71523,75640,81739,85347,87490,84299,78887,74741,74905,72567,73611,74837,73434,74413,75184,74347,74538,74141,77042,76825,78818,83309,85172,87053,89886
 , ,45 years,55627,55967,57381,58891,60047,60318,62433,64025,71305,75370,81435,85101,87284,84140,78829,74576,74968,72435,73504,74686,73257,74285,75052,74195,74404,73971,76845,76707,78774,83363,85078,86958
 , ,46 years,53880,55334,55771,57173,58715,59911,60114,62259,63798,71068,75084,81195,84912,87082,83924,78614,74599,74847,72325,73331,74491,73092,74153,74885,74026,74196,73770,76730,76660,78825,83259,84977
 , ,47 years,54294,53682,55104,55552,56930,58494,59681,59885,62049,63574,70828,74857,80940,84665,86870,83692,78580,74442,74694,72112,73090,74254,72916,73945,74667,73837,74001,73639,76638,76605,78679,83134
 , ,48 years,53815,54023,53396,54874,55286,56681,58270,59450,59672,61747,63296,70549,74577,80677,84442,86575,83623,78350,74219,74449,71864,72838,74030,72687,73715,74440,73638,73797,73555,76528,76456,78571
 , ,49 years,54673,53573,53738,53117,54607,55021,56429,57985,59172,59389,61485,63060,70262,74318,80354,84148,86422,83401,78070,73994,74165,71640,72578,73800,72356,73449,74186,73425,73655,73414,76363,76264
 , ,50 years,53293,54384,53315,53489,52833,54356,54755,56191,57714,58892,59089,61190,62779,69979,74085,80026,83919,86116,83059,77794,73717,73905,71391,72312,73490,72070,73173,73966,73213,73480,73151,76131
 , ,51 years,55306,52978,54084,52982,53173,52543,54071,54464,55888,57356,58598,58776,60876,62466,69678,73739,79838,83549,85842,82694,77483,73406,73547,71106,71992,73208,71726,72944,73675,73008,73255,72913
 , ,52 years,54471,54944,52655,53715,52642,52813,52203,53759,54077,55520,56996,58287,58473,60586,62166,69354,73480,79496,83109,85464,82340,77123,73082,73202,70805,71644,72898,71373,72650,73471,72749,72997
 , ,53 years,55763,54063,54543,52262,53331,52296,52450,51882,53389,53724,55164,56651,57958,58149,60295,61817,69109,73091,79092,82650,85062,81927,76769,72691,72849,70433,71269,72529,71052,72354,73155,72401
 , ,54 years,56008,55327,53628,54143,51876,52888,51890,52025,51442,53016,53324,54823,56278,57642,57838,59971,61570,68697,72704,78638,82174,84638,81468,76296,72256,72446,70050,70929,72167,70797,71987,72783
 , ,55 years,57251,55561,54845,53195,53678,51451,52435,51486,51584,50974,52562,52892,54433,55877,57257,57429,59730,61225,68300,72272,78127,81680,84139,81001,75873,71862,72022,69661,70561,71795,70362,71575
 , ,56 years,57124,56692,55067,54359,52714,53217,51019,51939,50981,51092,50493,52126,52478,54033,55520,56834,57114,59357,60797,67873,71756,77590,81136,83634,80474,75387,71456,71583,69241,70214,71338,69951
 , ,57 years,55547,56578,56135,54536,53830,52199,52651,50493,51394,50501,50607,49986,51665,52049,53604,55040,56520,56693,58905,60354,67344,71250,76993,80557,83022,79970,74952,71006,71094,68850,69775,70850
 , ,58 years,59041,54911,55925,55556,53952,53276,51614,52106,49924,50881,49906,50037,49451,51154,51572,53141,54615,56040,56223,58465,59869,66792,70694,76393,79919,82437,79418,74442,70490,70646,68357,69330
 , ,59 years,60607,58286,54206,55261,54916,53338,52652,51003,51477,49359,50306,49337,49498,48910,50612,51055,52711,54088,55627,55710,57952,59309,66176,70041,75723,79320,81821,78806,73850,70014,70172,67837
 , ,60 years,51773,59755,57493,53520,54578,54188,52658,51968,50319,50810,48746,49697,48788,48943,48381,50067,50561,52195,53578,55037,55135,57386,58792,65516,69412,75007,78593,81107,78115,73251,69486,69625
