"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,17 years,39106,41581,42306,43326,44784,41282,38283,36953,36597,38795,38573,36950,36759,37210,34371,32493,32789,31566,30601,28475,28706,27680,28429,29506,30486,30925,32320,33443,34652,34853,36576,36228
 , ,18 years,38485,39187,41662,42408,43364,44896,41440,38582,37092,36631,38849,38669,37110,37018,37360,34471,32721,33000,31645,30662,28504,28733,27731,28490,29534,30496,30921,32312,33490,34695,34915,36686
 , ,19 years,38448,38525,39155,41630,42428,43456,44945,41772,38651,37067,36624,38856,38713,37101,36979,37332,34624,32814,33003,31714,30686,28548,28803,27876,28537,29568,30580,31012,32550,33891,35233,35425
 , ,20 years,37470,38439,38460,39155,41663,42536,43670,45335,41882,38641,37089,36777,38996,38855,37235,37067,37544,34771,32990,33132,31905,30829,28740,29014,28054,28750,29882,30928,31662,33189,34474,35744
 , ,21 years,37844,37347,38326,38377,39119,41681,42737,43932,45329,41742,38664,37204,36856,39124,39005,37374,37378,37741,34945,33200,33322,32021,31030,29024,29331,28395,29136,30375,31720,32480,33892,35076
 , ,22 years,38098,37711,37234,38282,38478,39220,42022,43136,44025,45205,41750,38835,37270,37073,39287,39103,37624,37547,37897,35197,33435,33540,32272,31290,29346,29671,28859,29625,31140,32566,32988,34353
 , ,23 years,38462,38011,37655,37201,38295,38524,39675,42389,43247,43922,45212,41887,39010,37404,37259,39376,39459,37841,37797,38100,35357,33579,33742,32420,31455,29518,30012,29291,30313,31849,33000,33480
 , ,24 years,38570,38373,37947,37654,37213,38428,38959,40045,42448,43267,43899,45303,42085,39228,37597,37368,39616,39642,38008,37905,38198,35400,33674,33844,32525,31609,29751,30316,29713,30904,32064,33344
 , ,25 years,37873,38536,38340,37878,37657,37335,38893,39236,40113,42413,43251,43960,45453,42254,39395,37748,37691,39905,39746,38137,37958,38255,35499,33731,33841,32562,31758,29982,30646,30247,30911,32248
 , ,26 years,38932,37770,38397,38258,37856,37714,37689,39141,39262,40036,42349,43305,44070,45575,42381,39508,38044,37909,40014,39806,38194,38047,38340,35528,33792,33801,32628,31876,30393,31205,30251,31189
 , ,27 years,38209,38819,37614,38270,38195,37906,38068,37842,39114,39189,40019,42366,43423,44189,45602,42400,39758,38272,38061,40057,39891,38221,38081,38355,35555,33719,33851,32646,32182,30808,31251,30545
 , ,28 years,37948,38122,38685,37555,38189,38159,38152,38208,37864,39086,39101,40026,42472,43466,44229,45679,42649,39933,38313,38083,40001,39875,38280,38058,38295,35408,33756,33931,32978,32617,30846,31525
 , ,29 years,38823,37852,38003,38619,37504,38178,38396,38265,38182,37761,39073,39185,40166,42434,43526,44225,45951,42810,39962,38371,38053,40040,39937,38231,38025,38191,35450,33819,34179,33337,32698,31041
 , ,30 years,38859,38724,37734,37924,38569,37515,38277,38541,38225,38095,37640,39081,39129,40259,42469,43606,44435,46162,42849,39987,38379,38097,39983,39934,38125,37852,38151,35448,34170,34475,33363,32918
 , ,31 years,41306,38775,38563,37635,37854,38534,37584,38338,38480,38151,38002,37667,39100,39157,40284,42519,43892,44581,46208,42837,39991,38357,38117,39937,39870,38083,37809,38209,35694,34414,34603,33557
 , ,32 years,44085,41215,38624,38463,37557,37808,38578,37641,38271,38382,38029,38005,37693,39179,39144,40306,42744,43957,44563,46157,42863,40006,38367,38081,39909,39796,38060,37832,38401,35993,34437,34664
 , ,33 years,45948,43955,41121,38543,38408,37505,37820,38604,37600,38154,38340,37976,37968,37700,39216,39179,40506,42800,44017,44607,46167,42823,40017,38283,38068,39823,39709,38081,38008,38647,36046,34468
 , ,34 years,44900,45817,43881,40965,38475,38386,37510,37855,38568,37470,38115,38341,38006,37972,37759,39236,39376,40603,42840,44031,44626,46136,42755,39985,38181,37983,39742,39689,38247,38158,38629,36135
 , ,35 years,42760,44815,45668,43748,40884,38415,38353,37505,37766,38435,37334,38123,38356,38039,37957,37738,39470,39403,40585,42819,43932,44575,46063,42707,39868,38137,37933,39783,39811,38389,38170,38704
 , ,36 years,39174,42636,44693,45611,43701,40832,38413,38335,37452,37681,38325,37330,38102,38357,38037,37946,37953,39549,39437,40593,42746,43868,44514,46024,42611,39788,38109,37943,39870,39978,38407,38270
 , ,37 years,37159,39094,42534,44570,45533,43645,40782,38409,38270,37318,37562,38292,37300,38082,38343,37976,38158,37972,39550,39416,40608,42704,43812,44431,45969,42522,39720,38108,38074,40010,39964,38418
 , ,38 years,33161,37051,38942,42399,44415,45490,43555,40737,38319,38111,37179,37516,38245,37253,38073,38309,38110,38241,37979,39533,39332,40551,42629,43737,44368,45876,42453,39700,38207,38250,40024,40010
 , ,39 years,32185,33051,36900,38850,42329,44378,45456,43496,40665,38216,38043,37142,37474,38241,37235,38010,38451,38104,38198,37948,39476,39316,40506,42567,43649,44313,45771,42415,39833,38355,38214,40057
 , ,40 years,31208,32068,32948,36811,38795,42215,44319,45386,43350,40524,38129,37980,37118,37401,38169,37161,38167,38442,38065,38127,37904,39438,39223,40378,42479,43575,44218,45718,42446,39908,38326,38160
 , ,41 years,30819,31135,31963,32823,36705,38719,42165,44230,45273,43193,40417,38076,37948,37062,37329,38083,37278,38097,38375,37998,38051,37803,39411,39116,40292,42374,43479,44125,45722,42519,39790,38315
 , ,42 years,29811,30727,31004,31855,32724,36612,38597,42095,44103,45076,43053,40274,37990,37844,37018,37280,38159,37220,38035,38292,37953,37985,37772,39318,39046,40205,42332,43415,44144,45776,42457,39756
 , ,43 years,28995,29696,30616,30883,31782,32630,36542,38504,41938,43945,44913,42910,40169,37900,37838,36974,37308,38086,37200,37949,38225,37875,37906,37669,39224,38935,40087,42258,43412,44166,45694,42421
 , ,44 years,28182,28900,29584,30493,30774,31669,32571,36432,38380,41793,43778,44773,42820,40054,37805,37777,36982,37222,37990,37085,37862,38152,37776,37791,37535,39123,38881,40027,42229,43449,44069,45591
 , ,45 years,27747,28048,28777,29451,30327,30696,31596,32480,36285,38198,41587,43617,44637,42696,39997,37683,37795,36894,37163,37884,36962,37772,38066,37662,37683,37420,38973,38816,39985,42217,43338,43975
 , ,46 years,27022,27575,27918,28654,29334,30255,30572,31484,32314,36143,38021,41442,43463,44520,42568,39849,37665,37686,36802,37047,37752,36856,37664,37967,37543,37549,37273,38881,38787,39988,42126,43246
 , ,47 years,26840,26922,27441,27773,28501,29198,30095,30438,31364,32192,35975,37889,41269,43308,44383,42428,39823,37550,37572,36636,36899,37579,36733,37534,37789,37387,37429,37164,38823,38723,39857,42021
 , ,48 years,26760,26683,26745,27299,27610,28349,29074,29968,30318,31179,32036,35811,37688,41102,43142,44230,42356,39673,37419,37408,36483,36717,37429,36574,37369,37648,37239,37293,37140,38749,38626,39724
 , ,49 years,27040,26632,26519,26566,27148,27451,28205,28900,29798,30135,31016,31879,35643,37539,40877,42969,44111,42229,39495,37255,37241,36336,36552,37265,36378,37169,37469,37092,37210,37033,38600,38480
 , ,50 years,26311,26860,26480,26387,26378,27007,27304,28043,28750,29614,29952,30833,31700,35502,37377,40650,42811,43901,42019,39318,37096,37093,36174,36391,37051,36187,36996,37328,36930,37062,36822,38441
 , ,51 years,27477,26121,26667,26287,26186,26207,26827,27141,27851,28510,29430,29765,30614,31509,35323,37154,40525,42578,43729,41771,39111,36882,36881,35989,36210,36880,35948,36844,37129,36789,36885,36653
 , ,52 years,26879,27250,25930,26444,26084,25967,26012,26655,26917,27623,28290,29236,29578,30446,31342,35119,36999,40347,42306,43495,41541,38892,36678,36658,35777,35966,36683,35732,36677,36994,36609,36712
 , ,53 years,27309,26640,27008,25699,26228,25882,25739,25819,26441,26708,27414,28083,29029,29387,30265,31125,34983,36751,40087,42007,43226,41316,38678,36434,36439,35544,35731,36433,35542,36515,36760,36379
 , ,54 years,27309,27050,26389,26762,25466,25981,25636,25487,25548,26205,26472,27229,27859,28826,29187,30076,30960,34716,36515,39793,41716,43002,41019,38388,36177,36197,35300,35501,36198,35362,36271,36519
 , ,55 years,27989,27043,26761,26137,26453,25210,25713,25391,25215,25270,25948,26183,26995,27612,28590,28937,29912,30749,34477,36242,39476,41393,42681,40729,38117,35926,35947,35065,35297,35966,35072,36005
 , ,56 years,27722,27632,26742,26456,25841,26171,24954,25417,25094,24909,24978,25686,25927,26754,27408,28339,28741,29689,30502,34212,35924,39134,41051,42384,40413,37793,35653,35646,34825,35090,35671,34798
 , ,57 years,27087,27381,27311,26429,26147,25527,25826,24635,25085,24780,24631,24656,25403,25662,26506,27130,28117,28485,29422,30227,33895,35629,38769,40713,42014,40114,37525,35370,35340,34588,34822,35366
 , ,58 years,28500,26686,26971,26958,26079,25792,25167,25488,24283,24796,24395,24303,24334,25085,25392,26239,26857,27808,28206,29154,29915,33555,35290,38379,40311,41640,39787,37257,35056,35079,34285,34546
 , ,59 years,29226,28040,26225,26542,26567,25693,25420,24789,25094,23950,24438,24067,23978,23991,24768,25073,25970,26517,27549,27883,28865,29568,33183,34888,37959,39944,41263,39405,36890,34760,34769,33944
 , ,60 years,25129,28679,27509,25802,26124,26094,25261,25021,24383,24696,23565,24079,23763,23620,23680,24415,24791,25654,26186,27220,27528,28495,29249,32767,34510,37539,39519,40811,38982,36538,34416,34427
 , ,61 years,25748,24656,28185,26991,25360,25671,25613,24792,24537,23941,24286,23208,23696,23368,23247,23280,24065,24421,25279,25831,26861,27143,28143,28838,32367,34053,37101,39038,40313,38570,36093,34010
 , ,62 years,24417,25211,24139,27649,26436,24835,25159,25117,24315,24075,23474,23851,22812,23288,22922,22826,22873,23700,24058,24925,25489,26544,26767,27779,28447,31955,33581,36619,38560,39787,38138,35646
 , ,63 years,24208,23849,24620,23636,26998,25847,24322,24603,24543,23821,23579,23016,23423,22427,22829,22519,22421,22472,23285,23615,24542,25089,26159,26357,27336,28031,31523,33102,36117,38066,39284,37642
 , ,64 years,23416,23599,23266,24048,23036,26362,25214,23761,23999,23985,23259,23058,22529,22952,22002,22335,22071,21968,22053,22815,23207,24097,24661,25709,25898,26900,27590,31039,32600,35585,37527,38741
 , ,65 years,23950,22813,22966,22665,23397,22421,25642,24536,23139,23384,23403,22693,22564,22004,22441,21523,21852,21543,21512,21590,22354,22794,23674,24204,25272,25440,26477,27149,30543,32043,35030,37023
 , ,66 years,23412,23248,22178,22348,21996,22760,21778,24872,23887,22471,22761,22796,22163,22015,21405,21864,21008,21323,21063,20982,21127,21862,22336,23215,23728,24811,24941,25966,26640,30013,31517,34421
 , ,67 years,23342,22670,22533,21501,21614,21326,22011,21129,24084,23104,21818,22100,22139,21513,21346,20791,21306,20421,20724,20519,20440,20613,21339,21810,22751,23232,24282,24471,25473,26109,29466,30981
 , ,68 years,22043,22544,21862,21789,20777,20868,20556,21307,20453,23291,22314,21130,21436,21528,20829,20686,20132,20673,19827,20118,19910,19880,20078,20780,21274,22247,22700,23784,23993,24940,25602,28891
 , ,69 years,21294,21172,21710,21103,20974,20058,20104,19834,20544,19767,22471,21499,20405,20692,20785,20090,19997,19469,20043,19182,19509,19308,19275,19513,20176,20710,21692,22162,23211,23476,24414,25059
 , ,70 years,20692,20401,20285,20841,20293,20104,19247,19296,19065,19763,19031,21575,20639,19588,19901,20007,19326,19262,18726,19379,18568,18881,18675,18648,18948,19632,20173,21108,21586,22652,22933,23895
 , ,71 years,18961,19766,19447,19427,19945,19449,19247,18426,18494,18264,18925,18232,20680,19777,18795,19084,19188,18563,18522,18076,18689,17931,18227,18031,18059,18352,19071,19587,20516,20987,22037,22336
 , ,72 years,17369,18011,18733,18480,18531,18987,18606,18339,17550,17641,17445,17976,17434,19728,18863,17955,18166,18319,17805,17801,17385,17948,17229,17571,17368,17415,17779,18452,18944,19878,20401,21389
 , ,73 years,16139,16392,17052,17791,17512,17592,18011,17652,17419,16699,16737,16593,17068,16584,18728,17988,17048,17302,17449,17004,17007,16629,17207,16526,16821,16710,16770,17104,17834,18315,19250,19718
 , ,74 years,14957,15174,15445,15999,16752,16550,16577,16999,16730,16518,15822,15827,15686,16164,15640,17685,17013,16090,16404,16613,16177,16213,15842,16435,15825,16098,15997,16085,16450,17192,17659,18537
 , ,75 years,13800,13961,14186,14490,14933,15701,15535,15562,15970,15765,15566,14887,14853,14773,15223,14716,16589,16049,15205,15448,15733,15358,15402,15026,15622,15100,15315,15266,15393,15807,16478,16961
 , ,76 years,12560,12849,12986,13199,13496,13875,14601,14524,14549,14910,14764,14549,13955,13922,13723,14265,13765,15566,15058,14266,14534,14862,14541,14589,14241,14822,14403,14531,14537,14700,15085,15770
 , ,77 years,11667,11555,11845,12017,12161,12479,12901,13496,13506,13550,13794,13661,13545,13018,12923,12760,13242,12811,14542,14093,13350,13595,13963,13620,13722,13435,14029,13630,13773,13782,13990,14385
 , ,78 years,10430,10684,10534,10859,11047,11157,11431,11825,12483,12457,12477,12704,12656,12499,11973,11992,11771,12195,11849,13510,13101,12445,12632,13040,12711,12844,12569,13175,12901,12962,12984,13208
 , ,79 years,9271,9447,9722,9585,9926,10078,10172,10426,10846,11375,11412,11414,11666,11604,11439,10990,10964,10748,11275,10947,12450,12058,11457,11700,12088,11864,12019,11729,12298,12106,12141,12223
 , ,80 years,8030,8345,8487,8798,8663,8995,9131,9201,9469,9809,10323,10329,10394,10619,10577,10406,9984,10001,9780,10293,10007,11399,11035,10546,10736,11132,10997,11173,10884,11473,11275,11341
 , ,81 years,7439,7171,7419,7600,7890,7783,8021,8205,8272,8462,8837,9296,9312,9396,9536,9578,9324,9008,9098,8904,9360,9120,10351,10088,9676,9827,10177,10085,10338,10075,10630,10434
 , ,82 years,6407,6626,6356,6623,6725,7009,6917,7169,7342,7339,7591,7868,8283,8334,8373,8552,8548,8361,8049,8151,7976,8464,8193,9300,9115,8747,8927,9317,9235,9442,9228,9702
 , ,83 years,5633,5624,5819,5567,5868,5901,6158,6157,6274,6473,6488,6643,6977,7297,7338,7333,7547,7556,7419,7144,7241,7101,7569,7301,8273,8185,7905,8062,8427,8402,8549,8413
 , ,84 years,4875,4908,4876,5077,4859,5137,5203,5386,5392,5460,5653,5590,5830,6117,6353,6382,6419,6657,6654,6530,6290,6409,6245,6644,6442,7372,7299,7073,7159,7547,7536,7724
 , ,85 years,4134,4192,4204,4217,4348,4177,4393,4467,4642,4675,4733,4879,4846,5070,5251,5445,5509,5569,5747,5797,5652,5462,5595,5466,5806,5657,6433,6421,6235,6345,6677,6680
 , ,86 years,3414,3507,3549,3570,3551,3688,3544,3743,3852,4001,4003,4038,4170,4174,4263,4473,4616,4692,4783,4916,4950,4899,4704,4796,4712,5020,4888,5593,5635,5446,5549,5878
 , ,87 years,2549,2855,2935,2982,2978,2975,3053,3003,3169,3223,3409,3383,3399,3442,3513,3561,3711,3907,3948,4067,4184,4173,4145,3995,4087,3989,4265,4209,4794,4873,4646,4763
 , ,88 years,2235,2092,2350,2446,2430,2443,2453,2517,2461,2636,2698,2779,2800,2785,2793,2897,2898,3045,3234,3294,3402,3489,3482,3462,3333,3446,3404,3640,3531,4078,4125,3913
 , ,89 years,1718,1801,1678,1903,1985,1997,1997,1994,2067,1995,2139,2163,2261,2247,2250,2265,2319,2332,2472,2606,2669,2810,2863,2846,2811,2727,2846,2798,3037,2937,3396,3448
 , ,90 years,1312,1338,1435,1337,1528,1591,1570,1605,1594,1652,1571,1705,1732,1736,1738,1798,1762,1814,1848,1973,2069,2162,2256,2284,2246,2274,2193,2312,2248,2438,2406,2818
 , ,91 years,1012,1009,1026,1144,1041,1197,1236,1240,1267,1281,1296,1234,1347,1355,1353,1337,1373,1353,1402,1476,1548,1625,1687,1765,1801,1755,1849,1739,1877,1776,1912,1926
 , ,92 years,769,762,752,785,867,793,883,950,948,963,959,977,930,1012,1019,1058,1013,1027,1014,1034,1123,1170,1235,1292,1325,1397,1379,1441,1362,1434,1364,1488
 , ,93 years,502,556,539,556,572,640,593,665,705,693,714,707,722,683,750,749,761,763,758,771,778,852,877,912,976,1004,1037,1015,1085,1029,1074,1029
 , ,94 years,366,355,394,406,411,411,483,450,493,526,504,541,526,528,473,537,530,554,547,576,547,570,618,641,677,717,721,797,757,797,741,813
 , ,95 years,267,237,257,272,281,291,276,336,337,351,365,360,386,361,352,335,382,375,397,385,402,380,413,449,444,484,513,511,569,519,595,537
 , ,96 years,147,181,155,173,191,191,205,192,213,230,246,231,265,260,235,230,232,255,257,281,262,277,275,274,310,304,339,340,370,386,379,417
 , ,97 years,115,99,115,101,111,126,129,143,130,141,159,170,149,168,161,156,142,139,163,158,182,173,182,181,183,215,206,233,243,248,260,247
 , ,98 years,69,71,66,87,58,63,80,87,95,86,94,94,116,93,95,109,105,87,77,103,93,111,107,116,117,115,129,130,141,169,162,174
 , ,99 years and over,83,84,103,99,118,104,98,101,117,122,136,134,142,158,140,146,143,154,144,137,136,135,141,151,176,168,166,175,182,211,256,242
 ,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,0 years,28886,27959,25993,25678,24915,25302,26386,26938,27177,28498,29863,30863,31378,32894,32791,34093,34051,32938,32868,32131,32396,32672,31991,31179,31704,31593,31603,31669,31436,31648,30743,31111
 , ,1 year,30373,29042,28077,26099,25775,24982,25447,26591,27120,27322,28601,29961,31038,31549,33052,32967,34415,34313,33132,33070,32365,32637,32982,32215,31401,31766,31780,31746,31925,31678,31993,30951
 , ,2 years,30379,30375,29062,28095,26112,25786,25062,25576,26656,27139,27358,28692,30147,31136,31651,33197,33231,34579,34448,33238,33174,32482,32743,33082,32251,31445,31817,31829,31864,32119,31825,32110
 , ,3 years,31868,30398,30366,29083,28155,26134,25885,25184,25643,26698,27191,27416,28830,30240,31232,31735,33452,33397,34711,34519,33287,33261,32600,32820,33122,32242,31459,31829,31936,31998,32214,31916
 , ,4 years,35477,31886,30348,30364,29075,28154,26188,25969,25265,25701,26768,27281,27534,28912,30338,31361,32038,33614,33485,34790,34542,33387,33369,32745,32842,33128,32204,31429,31865,32004,32120,32323
 , ,5 years,34876,35503,31842,30349,30327,29096,28192,26261,26064,25301,25739,26816,27391,27611,29002,30438,31612,32180,33692,33569,34832,34615,33501,33434,32783,32804,33088,32188,31442,31926,32081,32171
 , ,6 years,34990,34920,35489,31821,30351,30352,29142,28288,26365,26081,25374,25823,26927,27473,27719,29105,30692,31781,32235,33746,33589,34882,34741,33613,33472,32784,32785,33059,32210,31511,31981,32091
 , ,7 years,36846,35003,34921,35447,31808,30343,30379,29185,28350,26431,26125,25434,25945,27037,27574,27802,29377,30832,31863,32284,33762,33682,35001,34800,33643,33486,32730,32728,33088,32289,31568,32004
 , ,8 years,36330,36845,34980,34877,35407,31784,30387,30444,29264,28377,26492,26186,25536,26017,27098,27634,28090,29542,30926,31951,32343,33848,33766,35075,34850,33722,33471,32715,32765,33132,32305,31612
 , ,9 years,34598,36348,36807,34956,34853,35453,31853,30430,30510,29257,28423,26593,26277,25613,26090,27159,27885,28236,29645,31004,32010,32469,33979,33860,35151,34856,33691,33458,32749,32849,33188,32373
 , ,10 years,34495,34621,36340,36809,34951,34867,35470,31923,30491,30567,29292,28496,26658,26358,25669,26176,27433,28100,28299,29756,31093,32125,32574,34040,33908,35178,34823,33675,33495,32821,32922,33225
 , ,11 years,35859,34494,34627,36342,36822,34976,34879,35525,31959,30538,30615,29370,28597,26743,26427,25731,26436,27570,28160,28391,29824,31199,32257,32666,34097,33953,35166,34849,33737,33605,32890,32980
 , ,12 years,39380,35887,34494,34630,36353,36835,35016,34936,35600,31990,30593,30679,29470,28705,26838,26492,25968,26568,27646,28252,28434,29920,31326,32384,32737,34111,33956,35223,34853,33779,33630,32937
 , ,13 years,42497,39395,35882,34492,34650,36365,36875,35057,35000,35600,32024,30656,30791,29560,28792,26867,26706,26101,26634,27723,28327,28545,30037,31418,32447,32771,34142,33973,35266,34927,33833,33670
 , ,14 years,41145,42506,39404,35877,34503,34684,36426,36932,35119,35030,35688,32085,30754,30886,29640,28861,27100,26826,26205,26748,27805,28425,28672,30118,31453,32484,32779,34144,34013,35386,34982,33906
 , ,15 years,39933,41152,42568,39442,35923,34545,34745,36496,37029,35167,35146,35811,32219,30906,30982,29740,29092,27245,26952,26331,26829,27932,28571,28783,30219,31563,32542,32852,34251,34140,35482,35137
 , ,16 years,39744,40045,41196,42625,39545,36069,34709,34889,36699,37191,35283,35290,35924,32360,31017,31113,29961,29232,27363,27104,26439,26948,28096,28699,28926,30316,31639,32616,32961,34506,34313,35705
 , ,17 years,37510,39708,40023,41170,42627,39577,36141,34800,34968,36635,37175,35361,35412,35989,32435,31105,31344,30197,29416,27553,27295,26697,27231,28390,28945,29157,30503,31829,32798,33190,34588,34387
 , ,18 years,36993,37630,39721,40080,41248,42710,39664,36343,34980,35060,36761,37356,35560,35683,36244,32616,31419,31551,30370,29604,27754,27433,26819,27273,28383,28923,29161,30526,31849,32938,33236,34690
 , ,19 years,36882,36899,37377,39508,39796,40984,42456,39529,36195,34504,34749,36372,36970,35138,35268,35884,32494,31296,31469,30257,29622,27749,27476,26870,27256,28252,28864,29214,30807,32284,33352,33720
 , ,20 years,35748,36894,36904,37413,39640,39987,41270,42698,39682,36103,34781,34963,36687,37350,35525,35689,36363,32942,31609,31735,30585,29822,28011,27794,27099,27479,28639,29415,30027,31605,32954,34032
 , ,21 years,36199,35847,36955,37011,37590,39816,40231,41556,42962,39749,36397,35134,35471,37193,37919,36044,36366,36977,33457,32162,32382,31217,30563,28635,28324,27781,28188,29399,30361,30934,32633,33801
 , ,22 years,36179,36135,35831,36972,37087,37651,39920,40390,41605,42928,39810,36605,35317,35738,37412,38190,36498,36697,37342,33897,32637,32802,31709,31029,28994,28748,28316,28767,30178,31138,31587,33191
 , ,23 years,36728,36100,36077,35804,36963,37086,37755,40049,40393,41539,42977,39914,36781,35459,35929,37606,38452,36800,36951,37589,34163,32852,33156,31988,31240,29238,29086,28733,29424,30912,31683,32192
 , ,24 years,36450,36711,36059,36007,35780,36938,37160,37887,40070,40373,41533,43063,40030,36900,35697,36074,37873,38809,36924,37158,37803,34352,33069,33351,32093,31352,29498,29406,29259,30118,31260,32246
 , ,25 years,36248,36405,36593,36067,36022,35759,37018,37225,37913,39956,40324,41574,43143,40183,37098,35835,36383,38097,38986,37154,37318,37955,34525,33263,33381,32149,31561,29796,29971,29891,30408,31692
 , ,26 years,36936,36205,36345,36549,36048,35998,35809,37077,37206,37827,39948,40363,41675,43185,40257,37234,36115,36666,38226,39179,37292,37371,38119,34688,33372,33437,32429,31766,30208,30497,30151,30720
 , ,27 years,36503,36883,36101,36288,36510,36011,36041,35888,37070,37135,37786,40012,40431,41702,43239,40394,37514,36367,36815,38342,39273,37403,37525,38155,34723,33446,33644,32625,32200,30663,30658,30493
 , ,28 years,35735,36461,36801,36113,36220,36524,36036,36079,35934,37036,37125,37878,40045,40534,41820,43351,40669,37683,36471,36900,38379,39335,37505,37698,38252,34749,33537,33728,32941,32628,30951,30913
 , ,29 years,37590,35735,36413,36752,36059,36217,36579,36063,36092,35891,37001,37177,37981,40179,40634,41876,43619,40800,37803,36606,37042,38416,39426,37589,37731,38252,34808,33653,34025,33230,32845,31182
 , ,30 years,37305,37520,35671,36373,36701,36068,36269,36618,36111,36064,35896,37075,37237,38048,40289,40723,42203,43791,40921,37860,36672,37115,38489,39515,37619,37703,38275,34896,33896,34285,33449,32966
 , ,31 years,39257,37285,37437,35634,36320,36688,36122,36259,36657,36054,36086,35915,37180,37294,38113,40349,41046,42389,43805,40943,37956,36736,37216,38561,39528,37598,37698,38282,35066,34085,34407,33527
 , ,32 years,41959,39219,37171,37406,35596,36339,36708,36132,36287,36661,36005,36157,36010,37281,37419,38205,40639,41197,42458,43860,41039,38036,36761,37263,38555,39499,37616,37754,38499,35283,34208,34456
 , ,33 years,43249,41914,39196,37134,37366,35612,36339,36751,36157,36279,36657,36060,36232,36047,37356,37456,38476,40799,41355,42536,43908,41068,38065,36865,37267,38579,39490,37665,37877,38681,35411,34362
 , ,34 years,42158,43193,41857,39140,37095,37342,35632,36370,36763,36112,36250,36709,36125,36323,36097,37424,37697,38574,40881,41450,42599,43971,41129,38071,36918,37264,38587,39522,37821,38058,38816,35540
 , ,35 years,40493,42117,43108,41788,39134,37075,37332,35639,36388,36711,36082,36239,36786,36196,36382,36203,37671,37838,38673,40953,41495,42666,44054,41212,38153,36942,37269,38643,39609,37967,38140,38935
 , ,36 years,37715,40434,42070,43041,41741,39115,37107,37318,35660,36363,36718,36134,36279,36850,36247,36464,36439,37802,37909,38726,40969,41621,42774,44066,41190,38184,36952,37288,38730,39741,38095,38253
 , ,37 years,35499,37662,40378,42010,43053,41736,39096,37124,37342,35626,36363,36709,36170,36323,36904,36298,36679,36534,37861,37937,38753,41033,41672,42829,44082,41196,38183,37004,37357,38881,39846,38176
 , ,38 years,31905,35452,37610,40321,41990,43025,41710,39092,37112,37329,35588,36352,36743,36170,36380,36923,36481,36758,36584,37918,37997,38833,41080,41661,42866,44100,41152,38182,37109,37449,38961,39914
 , ,39 years,31214,31864,35420,37536,40279,41938,42970,41705,39054,37064,37296,35582,36369,36769,36190,36425,37081,36548,36776,36615,37936,38008,38851,41124,41669,42868,44100,41150,38283,37207,37572,39051
 , ,40 years,29901,31155,31781,35350,37487,40222,41884,42935,41680,39011,37055,37247,35580,36370,36781,36225,36573,37104,36569,36791,36617,37958,38013,38849,41148,41637,42836,44092,41189,38384,37252,37648
 , ,41 years,30032,29854,31081,31732,35304,37442,40150,41842,42913,41626,38950,37035,37205,35558,36348,36765,36407,36576,37085,36588,36790,36618,38018,38025,38849,41140,41622,42838,44156,41315,38396,37306
 , ,42 years,29655,29965,29801,31024,31690,35228,37393,40109,41785,42845,41583,38929,37018,37210,35530,36333,36892,36424,36590,37093,36579,36796,36654,38001,38008,38859,41096,41642,42873,44238,41351,38465
 , ,43 years,28766,29594,29893,29738,30965,31648,35166,37330,40053,41692,42758,41519,38879,36973,37175,35528,36398,36875,36384,36591,37060,36600,36773,36623,37968,37969,38800,41084,41671,42914,44254,41349
 , ,44 years,28012,28700,29516,29800,29675,30909,31605,35091,37260,39946,41569,42717,41479,38833,36936,37128,35585,36389,36847,36349,36551,37032,36571,36747,36606,37919,37944,38791,41080,41723,42984,44295
 , ,45 years,27880,27919,28604,29440,29720,29622,30837,31545,35020,37172,39848,41484,42647,41444,38832,36893,37173,35541,36341,36802,36295,36513,36986,36533,36721,36551,37872,37891,38789,41146,41740,42983
 , ,46 years,26858,27759,27853,28519,29381,29656,29542,30775,31484,34925,37063,39753,41449,42562,41356,38765,36934,37161,35523,36284,36739,36236,36489,36918,36483,36647,36497,37849,37873,38837,41133,41731
 , ,47 years,27454,26760,27663,27779,28429,29296,29586,29447,30685,31382,34853,36968,39671,41357,42487,41264,38757,36892,37122,35476,36191,36675,36183,36411,36878,36450,36572,36475,37815,37882,38822,41113
 , ,48 years,27055,27340,26651,27575,27676,28332,29196,29482,29354,30568,31260,34738,36889,39575,41300,42345,41267,38677,36800,37041,35381,36121,36601,36113,36346,36792,36399,36504,36415,37779,37830,38847
 , ,49 years,27633,26941,27219,26551,27459,27570,28224,29085,29374,29254,30469,31181,34619,36779,39477,41179,42311,41172,38575,36739,36924,35304,36026,36535,35978,36280,36717,36333,36445,36381,37763,37784
