"Decisions by type of decision, type of offence, sex, age and time"

" "," "," "," ","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Total"
" ","Criminal code, total"
" "," ","Men"
" "," "," ","23 years",179,184,215,253,281,315,305,333,324,337,390,294,335,315,289,339,298,290,301,288,255,283,223,206,214,245,213,198,231,279,336,287,267,308,309,293,300,240,215,237,221,198
" "," "," ","24 years",164,182,210,241,271,273,294,334,345,305,338,408,341,309,336,266,333,271,282,215,252,229,198,235,222,186,221,169,205,225,258,276,299,263,250,268,259,217,185,201,240,204
" "," "," ","25-29 years",737,812,936,1137,1130,1224,1262,1299,1331,1482,1605,1554,1611,1757,1751,1633,1462,1278,1353,1294,1153,1146,1036,1075,1129,1115,938,823,836,850,971,1141,1123,1169,995,1071,1079,842,951,964,1158,1119
" "," "," ","30-39 years",1049,1262,1410,1768,1843,1929,1905,2000,2022,2191,2355,2350,2536,2814,2811,2782,2652,2606,2740,2509,2279,2229,2016,2120,2198,2141,1882,1558,1671,1756,1906,1912,2012,1880,1703,1715,1672,1476,1627,1621,1828,1795
" "," "," ","40-49 years",557,632,760,977,1041,1125,1215,1279,1439,1538,1654,1616,1850,1969,1841,1822,1708,1551,1679,1618,1529,1548,1498,1432,1688,1682,1543,1347,1405,1591,1624,1656,1774,1725,1612,1603,1476,1200,1262,1371,1542,1552
" "," "," ","50-59 years",377,394,430,531,523,583,575,562,685,764,797,861,1029,1178,1148,1146,1110,1049,1150,1111,1043,926,964,946,950,888,784,667,707,808,898,896,962,974,1039,973,935,777,849,871,1063,959
" "," "," ","60-69 years",208,254,260,341,379,396,434,400,485,538,567,576,705,706,605,592,542,504,550,557,539,488,472,468,548,537,467,461,529,556,554,522,515,530,502,416,402,365,426,390,440,471
" "," "," ","70-79 years",79,108,131,176,189,220,219,237,304,301,371,417,514,556,454,450,344,322,335,355,293,279,252,244,243,228,223,166,217,242,212,241,264,262,272,295,247,235,269,267,297,240
" "," "," ","80 year and over",0,9,5,9,20,29,33,42,55,77,80,87,137,160,131,130,115,117,33,42,36,34,5,4,0,0,13,4,3,2,0,1,8,4,3,2,4,7,13,10,14,4

"The provisions of the Danish Criminal Code regarding sexual offences "
"went through essential amendments taking effect from 1 July 2013. The "
"amendments resulted in e.g. more categories of sexual offences than "
"previously being placed under the provisions about rape (section "
"216). See more in the documentation of statistics, in the chapter "
"Comparability: "
"http://www.dst.dk/declarations//3806026b-3f64-451f-9836-c7a442da922f "

