"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","47 years",84756,86726,89566,83592,78457,75795,76329,79687,80790,77444,78123,79816
" "," ","48 years",82956,84632,86609,89520,83615,78492,75795,76259,79589,80822,77614,78588
" "," ","49 years",78320,82748,84480,86555,89569,83596,78441,75765,76141,79542,80908,77957
" "," ","50 years",76009,78091,82579,84374,86524,89501,83536,78405,75628,76109,79628,81268
" "," ","51 years",75860,75819,77902,82413,84268,86422,89348,83435,78262,75552,76108,79775
" "," ","52 years",72646,75605,75621,77725,82244,84118,86281,89142,83275,78124,75566,76393
" "," ","53 years",72731,72384,75360,75418,77537,82117,83915,86087,88906,83153,78092,75691
" "," ","54 years",72031,72471,72034,75167,75201,77335,81931,83712,85835,88708,83116,78243
" "," ","55 years",72390,71700,72234,71738,74921,74929,77080,81630,83408,85600,88557,83221
" "," ","56 years",71144,71965,71362,71921,71502,74632,74616,76815,81314,83160,85386,88538
" "," ","57 years",69514,70706,71558,71035,71602,71143,74291,74277,76439,81013,82937,85332
" "," ","58 years",70381,69060,70307,71167,70664,71258,70787,73868,73951,76105,80700,82895
" "," ","59 years",68814,69950,68585,69920,70785,70248,70839,70404,73426,73642,75759,80573
" "," ","60 years",67343,68260,69398,68151,69455,70326,69810,70375,69935,72965,73227,75695
" "," ","61 years",69016,66782,67697,68833,67597,68926,69833,69363,69869,69498,72500,73078
" "," ","62 years",68212,68413,66238,67151,68264,67067,68387,69315,68816,69353,69063,72288
" "," ","63 years",71159,67546,67784,65587,66543,67677,66507,67737,68692,68219,68822,68779
" "," ","64 years",75123,70480,66865,67095,65000,65860,67058,65880,67059,68079,67646,68498
" "," ","65 years",76839,74300,69801,66180,66392,64274,65188,66404,65209,66442,67399,67219
" "," ","66 years",73366,75896,73434,69005,65395,65615,63571,64405,65611,64490,65700,66896
